,House,Set,Rarity,Type,Score,E,A,C,F,D,B,BigA,Clear,HardR,KC,Weight,Tokens,2,3,4,5,,2 Net,x̅,3 Net,x̅,4 Net,x̅,5 Net,x̅
Binary Moray,Logos,DT,U,Creature,4,,,,1,,1,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Bouncing Deathquark,Logos,DT,U,Action,4,,,1,,,,,,,,2,,0,-1,-3,-3,,8,4,11,3.7,12,3,13,2.6
Brain Eater,Logos,DT,U,Creature,3,,,,1,,1,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Data Forge,Logos,DT,U,Action,3,1,,,,,,,,,1,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Eureka!,Logos,DT,U,Action,4,1,,,1,,,,,,,2,,0,-2,-4,-4,,8,4,10,3.3,10,2.5,10,2
Fila the Researcher,Logos,DT,U,Creature,2,,,,1,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Forgive or Forget,Logos,DT,U,Action,4,,,,1,,,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Isotropic Core,Logos,DT,U,Artifact,1,1,,,,,,,,,,0.5,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Mechabuoy,Logos,DT,U,Artifact,4,1,,,,,,,,,,2,,1,2,2,2,,9,4.5,15,5.0,21,5.25,27,5.4
Mind Bullets,Logos,DT,U,Action,2,,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Novu Archaeologist,Logos,DT,U,Creature,3,,,,1,,1,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Positron Bolt,Logos,DT,U,Action,3,1,,1,,,,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Prof. Garwynne,Logos,DT,U,Creature,2,,,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Think Twice,Logos,DT,U,Action,6,,,,1,,,,,,,3,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Rooftop Set,Logos,DT,R,Creature,5,1,,1,1,,,1,1,1,,1.25,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Hyde/Velum,Logos,DT,R,Creature,2,,,,1,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Academy Training,Logos,DT,R,Upgrade,2,1,,,1,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Backup Plan,Logos,DT,R,Action,4,,,,1,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Captain Kresage,Logos,DT,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Chronophage,Logos,DT,R,Creature,6,,,,,1,,,,,,1.5,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Honors Keysis,Logos,DT,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Knowledge is Power,Logos,DT,R,Action,3,,,,1,,,,,,,0.75,,1,2,3,3,,7,3.5,12,4.0,18,4.5,24,4.8
Library Card,Logos,DT,R,Artifact,3,,,,1,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Master the Theory,Logos,DT,R,Action,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Mind Over Matter,Logos,DT,R,Action,3,,,,1,1,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Mobius Scroll,Logos,DT,R,Artifact,2,,,,1,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Ruins of Archonis,Logos,DT,R,Artifact,4,1,,,1,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
SLRS Austeralis,Logos,DT,R,Artifact,4,1,,,1,,,,,,,1,,-2,-3,-3,-3,,6,3,7,2.3,8,2,9,1.8
The Archivist,Logos,DT,R,Creature,2,,,,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
The Howling Pit,Logos,DT,R,Artifact,3,1,,,1,,,,,,,0.75,,1,1,1,1,,7,3.5,11,3.7,15,3.75,19,3.8
Tide Warp,Logos,DT,R,Artifact,2,1,,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Universal Keylock,Logos,DT,R,Artifact,2,1,1,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Vespilon Theorist,Logos,DT,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Zenzizenzizenzic,Logos,DT,R,Creature,5,,,,1,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
,Sanctum,DT,,,,20,9,11,2,2,22,1,0,1,0,76.00,,,,,,,,,,,,,,
Badgemagus,Sanctum,DT,C,Creature,3,,,1,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Bull-wark,Sanctum,DT,C,Creature,2,,,1,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Cleansing Wave,Sanctum,DT,C,Action,3,1,,,,,,,,,,3,,0,-1,-2,-3,,6,3,8,2.7,9,2.25,9,1.8
General Xalvador,Sanctum,DT,C,Creature,3,,1,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Grand Melee,Sanctum,DT,C,Action,2,,,1,,,,,,,,2,,-1,-2,-3,-5,,3,1.5,3,1.0,2,0.5,-1,-0.2
Hammer-gram,Sanctum,DT,C,Action,1,,,1,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Heal or Harm,Sanctum,DT,C,Action,1,1,,1,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Laerie of the Lake,Sanctum,DT,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Marshal Ewer,Sanctum,DT,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Seneschal Sargassa,Sanctum,DT,C,Creature,3,,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Shifting Battlefield,Sanctum,DT,C,Action,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sir Bevor,Sanctum,DT,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Staunch Knight,Sanctum,DT,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Strange Ordination,Sanctum,DT,C,Action,2,1,,,,,,,,,,2,,1,2,2,2,,5,2.5,9,3.0,13,3.25,17,3.4
Taxing Journey,Sanctum,DT,C,Action,2,1,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Urien the Circumspect,Sanctum,DT,C,Creature,3,1,,,,,1,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Orph Pair,Sanctum,DT,U,Creature,2,1,1,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Almsmaster,Sanctum,DT,U,Creature,3,,1,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Barrister Joya,Sanctum,DT,U,Creature,4,,,,,1,1,,,,,2,,1,1,1,1,,9,4.5,14,4.7,19,4.75,24,4.8
Bring Low,Sanctum,DT,U,Action,3,,1,,,,,,,,,1.5,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Doorstep to Heaven,Sanctum,DT,U,Action,5,1,1,,,,,1,,,,2.5,,0,-2,-4,-4,,10,5,13,4.3,14,3.5,15,3
First or Last,Sanctum,DT,U,Action,6,,,1,,,,,,,,3,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Gatekeeper,Sanctum,DT,U,Creature,3,,1,,,,1,,,,,1.5,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Gorm of Omm,Sanctum,DT,U,Artifact,3,,,,,,,,,1,,1.5,,0,-1,-3,-3,,6,3,8,2.7,8,2,8,1.6
Grey Augur,Sanctum,DT,U,Creature,2,1,,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Haedroth’s Wall,Sanctum,DT,U,Artifact,3,,,,,,,,,,,1.5,,1,1,2,2,,7,3.5,11,3.7,16,4,21,4.2
Holdfast,Sanctum,DT,U,Creature,3,1,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Honor or Glory,Sanctum,DT,U,Action,2,,,1,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Light Everlasting,Sanctum,DT,U,Action,5,1,,,1,,,,,,,2.5,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Radiant Truth,Sanctum,DT,U,Action,3,1,,,,,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Redhand Registry,Sanctum,DT,U,Artifact,2,1,,,,,,,,,,1,,-1,-3,-5,-5,,3,1.5,2,0.7,-1,-0.25,-4,-0.8
Shoulder Armor,Sanctum,DT,U,Upgrade,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Aja the Inconspicuous,Sanctum,DT,R,Creature,2,,,,,,1,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Avenging Aura,Sanctum,DT,R,Action,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Charge!,Sanctum,DT,R,Action,2,1,,1,,,,,,,,0.5,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Dry the River,Sanctum,DT,R,Artifact,4,,,,,1,,,,,,1,,0,-3,-3,-3,,8,4,9,3.0,10,2.5,11,2.2
Epic Quest,Sanctum,DT,R,Artifact,1,,,,,,,,,,,0.25,,1,2,2,2,,3,1.5,6,2.0,9,2.25,12,2.4
Harmonic Ritual,Sanctum,DT,R,Action,4,1,,,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Lady Loreena,Sanctum,DT,R,Creature,4,,,,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Lightsmith Clariel,Sanctum,DT,R,Creature,2,,,,,,1,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Lord Golgotha,Sanctum,DT,R,Creature,4,,,1,,,1,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Mad Prophet Gizelhart,Sanctum,DT,R,Creature,4,1,,,,,1,,,,,1,,-1,-2,-2,-2,,7,3.5,9,3.0,11,2.75,13,2.6
Mighty Lance,Sanctum,DT,R,Action,3,,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Numquid the Fair,Sanctum,DT,R,Creature,6,,,1,,,,,,,,1.5,,0,0,0,0,,12,6,18,6.0,24,6,30,6
Orb of Wonder,Sanctum,DT,R,Artifact,5,,,,1,,,,,,,1.25,,1,1,1,1,,11,5.5,17,5.7,23,5.75,29,5.8
Round Table,Sanctum,DT,R,Artifact,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sanctum Guardian,Sanctum,DT,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Seraphic Armor,Sanctum,DT,R,Upgrade,1,1,,,,,,,,,,0.25,,0,0,0,0,,2,1,3,1.0,4,1,5,1
SGS Illuminator,Sanctum,DT,R,Artifact,0,,,,,,,,,,,0,,-2,-4,-4,-4,,-2,-1,-6,-2.0,-10,-2.5,-14,-2.8
The Corpulent Collector,Sanctum,DT,R,Creature,2,,1,,,,1,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
The Vaultkeeper,Sanctum,DT,R,Creature,3,,,,,,1,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Trial by Water,Sanctum,DT,R,Action,1,1,,,,,,,,,,0.25,,-2,-3,-3,-3,,0,0,-2,-0.7,-4,-1,-6,-1.2
,Saurian,DT,,,,17,7,13,3,1,22,0,1,0,0,71.00,,,,,,,,,,,,,,
Altruist's Rostrum,Saurian,DT,C,Artifact,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Carpe Vinum,Saurian,DT,C,Action,2,1,,,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Censor Philo,Saurian,DT,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Consul Primus,Saurian,DT,C,Creature,2,,,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Cornicen Octavia,Saurian,DT,C,Creature,3,,1,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Crushing Charge,Saurian,DT,C,Action,4,,,1,,,,,1,,,4,,-1,-2,-3,-5,,7,3.5,9,3.0,10,2.5,9,1.8
Decadence,Saurian,DT,C,Action,3,1,,,,,,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Faust the Great,Saurian,DT,C,Creature,4,,1,,,,1,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Lapisaurus,Saurian,DT,C,Creature,3,,,,,,1,,,,,3,,0,0,-1,-1,,6,3,9,3.0,11,2.75,13,2.6
Magistra Vita,Saurian,DT,C,Creature,3,1,,,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Medicus Lacus,Saurian,DT,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Ostracize,Saurian,DT,C,Action,3,,,1,,,,,,,,3,,0,-1,-2,-2,,6,3,8,2.7,9,2.25,10,2
Reach Advantage,Saurian,DT,C,Action,3,1,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Spoils of Battle,Saurian,DT,C,Action,3,1,1,,,,,,,,,3,,0,0,-2,-3,,6,3,9,3.0,10,2.5,10,2
Undagnathus,Saurian,DT,C,Creature,2,,,,,,1,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Venator Altum,Saurian,DT,C,Creature,1,,,,,,1,,,,,1,,-1,-2,-3,-4,,1,0.5,0,0.0,-2,-0.5,-5,-1
Ankylo Formation,Saurian,DT,U,Action,1,1,,,,,,,,,,0.5,,0,0,-1,-1,,2,1,3,1.0,3,0.75,3,0.6
Bestiarii Urso,Saurian,DT,U,Creature,2,,,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Bury Riches,Saurian,DT,U,Action,3,1,,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
City-State Interest,Saurian,DT,U,Action,4,,1,,,,,,,,,2,,0,-1,-3,-3,,8,4,11,3.7,12,3,13,2.6
Di-No You Didn't!,Saurian,DT,U,Action,2,1,,1,,,,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Gladiodontus,Saurian,DT,U,Creature,2,,,,1,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Hedonistic Intent,Saurian,DT,U,Action,2,,,,1,,1,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Humble,Saurian,DT,U,Action,2,1,,,,,,,,,,1,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Paraguardian,Saurian,DT,U,Creature,2,,,,,,1,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Physicus Felix,Saurian,DT,U,Creature,3,1,,,,,1,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Saurarium,Saurian,DT,U,Artifact,3,1,,,,1,,,,,,1.5,,-1,-3,-5,-5,,5,2.5,5,1.7,3,0.75,1,0.2
Senator Quintina,Saurian,DT,U,Creature,1,,,,,,1,,,,,0.5,,-1,-2,-3,-3,,1,0.5,0,0.0,-2,-0.5,-4,-0.8
Siren Horn,Saurian,DT,U,Upgrade,2,1,,,,,,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Terrordactyl,Saurian,DT,U,Creature,2,,,1,,,1,,,,,1,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Trojan Sauropod,Saurian,DT,U,Artifact,0,,,,,,,,,,,0,,-2,-4,-6,-6,,-2,-1,-6,-2.0,-12,-3,-18,-3.6
Wipe Clear,Saurian,DT,U,Action,2,,,1,,,,,,,,1,,-1,-1,-1,-1,,3,1.5,4,1.3,5,1.25,6,1.2
Dino Twins,Saurian,DT,R,Creature,5,,,1,,,1,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Bracchanalia,Saurian,DT,R,Artifact,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Brachiaditus,Saurian,DT,R,Creature,3,,,,,,1,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Crassosaurus,Saurian,DT,R,Creature,2,,1,,,,1,,,,,0.5,,-2,-3,-3,-3,,2,1,1,0.3,0,0,-1,-0.2
Diplo-Macy,Saurian,DT,R,Action,1,1,,,,,,,,,,0.25,,-2,-4,-4,-4,,0,0,-3,-1.0,-6,-1.5,-9,-1.8
Eclectic Ambrosius,Saurian,DT,R,Creature,2,,,,,,1,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Enlist Numeri,Saurian,DT,R,Action,3,1,,1,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Good of the Many,Saurian,DT,R,Action,3,,,1,,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
Grimlocus Dux,Saurian,DT,R,Creature,2,,,,,,1,,,,,0.5,,0,-2,-2,-2,,4,2,4,1.3,4,1,4,0.8
Hastatus Raptor,Saurian,DT,R,Creature,0,,,,,,,,,,,0,,0,0,-2,-4,,0,0,0,0.0,-2,-0.5,-6,-1.2
High Priest Torvus,Saurian,DT,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Imperial Forge,Saurian,DT,R,Action,4,1,,,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Imperial Road,Saurian,DT,R,Artifact,3,,,,1,,,,,,,0.75,,-1,-2,-2,-2,,5,2.5,6,2.0,7,1.75,8,1.6
ISS Indominus,Saurian,DT,R,Artifact,2,,,1,,,,,,,,0.5,,-1,-3,-3,-3,,3,1.5,2,0.7,1,0.25,0,0
Primus Unguis,Saurian,DT,R,Creature,3,,,,,,1,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Saury About That,Saurian,DT,R,Action,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Swallow Whole,Saurian,DT,R,Action,3,,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Tertiate,Saurian,DT,R,Action,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Colosseum,Saurian,DT,R,Artifact,1,,,,,,,,,,,0.25,,-2,-3,-3,-3,,0,0,-2,-0.7,-4,-1,-6,-1.2
The First Scroll,Saurian,DT,R,Artifact,2,,1,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
,Shadows,DT,,,,29,19,15,2,1,5,0,0,0,0,71.50,,,,,,,,,,,,,,
Cement Shoes,Shadows,DT,C,Action,2,1,,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
"Francis the ""Economist""",Shadows,DT,C,Creature,1,,,,,,,,,,,1,,0,0,0,0,,2,1,3,1.0,4,1,5,1
Gas-Pipes Malone,Shadows,DT,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Hard Simpson,Shadows,DT,C,Creature,2,1,1,,,,1,,,,,2,,0,-1,-2,-3,,4,2,5,1.7,5,1.25,4,0.8
Hobnobber,Shadows,DT,C,Creature,2,,,,,,,,,,,2,,0,0,-1,-1,,4,2,6,2.0,7,1.75,8,1.6
Hornswoggle,Shadows,DT,C,Action,2,1,,,,,,,,,,2,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Jackie Tar,Shadows,DT,C,Creature,2,,,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Kerwollop,Shadows,DT,C,Action,3,1,,1,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Loot or Pillage,Shadows,DT,C,Action,2,1,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Mug,Shadows,DT,C,Action,3,,,1,,,,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
One-Eyed Willa,Shadows,DT,C,Creature,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Scooped,Shadows,DT,C,Action,3,1,1,,,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Sea Urchin,Shadows,DT,C,Creature,4,1,1,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Seeker Needle,Shadows,DT,C,Artifact,2,1,,1,,,,,,,,2,,1,0,-1,-2,,5,2.5,7,2.3,8,2,8,1.6
Shoulder Id,Shadows,DT,C,Creature,3,,,,,,1,,,,,3,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Walk the Plank,Shadows,DT,C,Action,2,1,1,1,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Blatant Thievery,Shadows,DT,U,Action,2,1,,,,,,,,,,1,,0,-1,-2,-2,,4,2,5,1.7,5,1.25,5,1
Booby Trap,Shadows,DT,U,Action,3,1,,1,,,,,,,,1.5,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
"""Borrow""",Shadows,DT,U,Action,5,1,,,,,,,,,,2.5,,0,-2,-4,-4,,10,5,13,4.3,14,3.5,15,3
Brend the Fanatic,Shadows,DT,U,Creature,4,,1,,,,1,,,,,2,,0,-1,-4,-4,,8,4,11,3.7,11,2.75,11,2.2
Freebooter Faye,Shadows,DT,U,Creature,4,1,1,,,,1,,,,,2,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Hand Cannon,Shadows,DT,U,Upgrade,1,1,,,,,,,,,,0.5,,0,-1,-2,-3,,2,1,2,0.7,1,0.25,-1,-0.2
Little Niff,Shadows,DT,U,Creature,1,,,,,,,,,,,0.5,,-2,-3,-4,-4,,0,0,-2,-0.7,-5,-1.25,-8,-1.6
Miasma Bomb,Shadows,DT,U,Artifact,2,,1,,,,,,,,,1,,1,-1,-2,-3,,5,2.5,6,2.0,6,1.5,5,1
Monty Bank,Shadows,DT,U,Creature,0,,,,,,,,,,,0,,-2,-3,-3,-3,,-2,-1,-5,-1.7,-8,-2,-11,-2.2
Old Bruno,Shadows,DT,U,Creature,3,,1,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Ransack,Shadows,DT,U,Action,2,1,1,,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Safe or Sorry,Shadows,DT,U,Action,3,,,1,1,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Stir Up Trouble,Shadows,DT,U,Action,3,,1,,,,,,,,,1.5,,0,0,0,0,,6,3,9,3.0,12,3,15,3
The Flyin’ Specter,Shadows,DT,U,Artifact,2,1,1,,,,,,,,,1,,-1,-2,-3,-3,,3,1.5,3,1.0,2,0.5,1,0.2
Trickle-Down Theory,Shadows,DT,U,Artifact,6,1,,,,,,,,,,3,,1,1,1,1,,13,6.5,20,6.7,27,6.75,34,6.8
Whisper,Shadows,DT,U,Creature,2,,,1,,,,,,,,1,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Archon's Revenge,Shadows,DT,R,Artifact,4,,1,,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Captain No-Beard,Shadows,DT,R,Creature,2,,1,,,,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
Dead Man's Chest,Shadows,DT,R,Artifact,3,1,,1,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Deipno Spymaster,Shadows,DT,R,Creature,2,,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Early Birds,Shadows,DT,R,Action,2,1,,,,,,,,,,0.5,,-2,-3,-3,-3,,2,1,1,0.3,0,0,-1,-0.2
Easy Marks,Shadows,DT,R,Action,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Finch Cloak,Shadows,DT,R,Creature,3,1,1,,,,1,,,,,0.75,,0,-1,-1,-1,,6,3,8,2.7,10,2.5,12,2.4
Finishing Blow,Shadows,DT,R,Action,4,1,1,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Mack the Knife,Shadows,DT,R,Creature,5,1,,1,,,,,,,,1.25,,0,0,0,0,,10,5,15,5.0,20,5,25,5
Mastermindy,Shadows,DT,R,Creature,1,,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
Masterplan,Shadows,DT,R,Artifact,5,1,,,1,,,,,,,1.25,,1,2,2,2,,11,5.5,18,6.0,25,6.25,32,6.4
Mole,Shadows,DT,R,Upgrade,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Ransom,Shadows,DT,R,Upgrade,2,,,1,,,,,,,,0.5,,0,-1,-1,-1,,4,2,5,1.7,6,1.5,7,1.4
Ring of Invisibility,Shadows,DT,R,Upgrade,2,1,,,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Sack of Coins,Shadows,DT,R,Action,4,1,,1,,,,,,,,1,,0,0,0,0,,8,4,12,4.0,16,4,20,4
Scowly Caper,Shadows,DT,R,Creature,2,,,1,,,,,,,,0.5,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Smiling Ruth,Shadows,DT,R,Creature,1,,,,,,,,,,,0.25,,-2,-2,-2,-2,,0,0,-1,-0.3,-2,-0.5,-3,-0.6
Submersible,Shadows,DT,R,Artifact,1,1,,,,,,,,,,0.25,,-1,-2,-2,-2,,1,0.5,0,0.0,-1,-0.25,-2,-0.4
The Shadow Council,Shadows,DT,R,Creature,3,,1,,,,,,,,,0.75,,0,0,0,0,,6,3,9,3.0,12,3,15,3
Widespread Corruption,Shadows,DT,R,Artifact,2,1,,,,1,,,,,,0.5,,-1,-2,-2,-2,,3,1.5,3,1.0,3,0.75,3,0.6
,Star Alliance,DT,,,,30,6,8,12,2,9,0,2,0,0,87.50,,,,,,,,,,,,,,
AEmber-vac,StarAlliance,DT,C,Upgrade,2,,1,,,,,,,,,2,,0,0,0,0,,4,2,6,2.0,8,2,10,2
Biome Discovery,StarAlliance,DT,C,Action,3,1,,,1,,,,,,,3,,0,0,0,0,,6,3,9,3.0,12,3,15,3
C.R. Officer Hawkins,StarAlliance,DT,C,Creature,4,1,,,,,,,,,,4,,0,0,0,0,,8,4,12,4.0,16,4,20,4
